category,month,order_count,total_revenue,avg_revenue
Household Essentials,2026-01,12,2896,241.33333333333334
Household Essentials,2026-02,21,5066,241.23809523809524
Household Essentials,2026-03,12,2896,241.33333333333334
Household Essentials,2026-04,9,2174,241.55555555555554
Household Essentials,2026-05,15,3617,241.13333333333333
Household Essentials,2026-06,9,2170,241.11111111111111
Personal Care,2026-01,6,1157,192.83333333333334
Personal Care,2026-02,11,2122,192.9090909090909
Personal Care,2026-03,12,2312,192.66666666666666
Personal Care,2026-04,15,2894,192.93333333333334
Personal Care,2026-05,12,2310,192.5
Personal Care,2026-06,15,2890,192.66666666666666
Bakery,2026-01,10,1880,188.0
Bakery,2026-02,14,2630,187.85714285714286
Bakery,2026-03,9,1692,188.0
Bakery,2026-04,13,2444,188.0
Bakery,2026-05,12,2255,187.91666666666666
Bakery,2026-06,9,1690,187.77777777777777
Dairy & Eggs,2026-01,8,1408,176.0
Dairy & Eggs,2026-02,11,1937,176.0909090909091
Dairy & Eggs,2026-03,15,2642,176.13333333333333
Dairy & Eggs,2026-04,12,2114,176.16666666666666
Dairy & Eggs,2026-05,14,2466,176.14285714285714
Dairy & Eggs,2026-06,9,1585,176.11111111111111
Snacks & Beverages,2026-01,9,1255,139.44444444444446
Snacks & Beverages,2026-02,12,1678,139.83333333333334
Snacks & Beverages,2026-03,13,1816,139.69230769230768
Snacks & Beverages,2026-04,13,1816,139.69230769230768
Snacks & Beverages,2026-05,10,1397,139.7
Snacks & Beverages,2026-06,12,1676,139.66666666666666
Fruits & Vegetables,2026-01,14,1613,115.21428571428571
Fruits & Vegetables,2026-02,16,1842,115.125
Fruits & Vegetables,2026-03,11,1267,115.18181818181819
Fruits & Vegetables,2026-04,17,1960,115.29411764705883
Fruits & Vegetables,2026-05,12,1381,115.08333333333333
Fruits & Vegetables,2026-06,10,1151,115.1
