order_id,order_date,customer_id,product_id,city,category,amount_inr,status,rating
1,2026-04-09,14,5,Mumbai,Household Essentials,241,Delivered,3
2,2026-02-21,26,4,Bengaluru,Household Essentials,242,Delivered,2
3,2026-03-05,48,5,Pune,Household Essentials,241,Delivered,5
4,2026-03-24,38,4, bengaluru ,Household Essentials,242,Delivered,3
5,2026-02-05,6,1,Bengaluru,household essentials,241,Delivered,1
6,2026-02-21,44,4,Pune,Household Essentials,241,Delivered,5
7,2026-01-13,39,4,Bengaluru,Household Essentials,242,Delivered,5
8,2026-03-18,44,1, mumbai ,Household Essentials,241,Delivered,5
9,2026-03-25,8,3,Hyderabad,Household Essentials,241,Delivered,4
10,2026-02-15,47,3,Mumbai,household essentials,241,Pending,5
10,2026-02-15,47,3,Mumbai,household essentials,241,Pending,5
11,2026-02-17,41,3,Mumbai,Household Essentials,241,Delivered,5
12,2026-05-07,24,2, pune ,Household Essentials,241,Delivered,5
13,2026-05-01,32,1,Hyderabad,Household Essentials,241,Delivered,1
14,2026-03-27,16,1,Hyderabad,Household Essentials,242,Cancelled,2
15,2026-05-03,47,4,Mumbai,household essentials,241,Cancelled,1
16,2026-05-25,9,4, pune ,Household Essentials,241,Delivered,5
17,2026-02-09,14,5,Bengaluru,Household Essentials,241,Delivered,
18,2026-06-10,43,3,Bengaluru,Household Essentials,241,Cancelled,4
19,2026-05-15,16,2,Mumbai,Household Essentials,241,Delivered,1
20,2026-03-01,38,2, pune ,household essentials,241,Delivered,1
20,2026-03-01,38,2, pune ,household essentials,241,Delivered,1
21,2026-01-23,15,1,Mumbai,Household Essentials,241,Delivered,1
22,2026-03-03,18,4,Pune,Household Essentials,241,Delivered,2
23,2026-05-05,16,4,Bengaluru,Household Essentials,241,Delivered,4
24,2026-02-04,43,4, mumbai ,Household Essentials,241,Delivered,3
25,2026-04-14,47,1,Bengaluru,household essentials,241,Delivered,1
26,2026-01-13,7,2,Hyderabad,Household Essentials,242,Pending,2
27,2026-02-18,9,4,Bengaluru,Household Essentials,241,Delivered,2
28,2026-03-15,5,4, pune ,Household Essentials,241,Cancelled,5
29,2026-01-02,6,2,Mumbai,Household Essentials,241,Delivered,2
30,2026-04-16,14,4,Bengaluru,household essentials,241,Delivered,1
30,2026-04-16,14,4,Bengaluru,household essentials,241,Delivered,1
31,2026-02-13,25,3,Mumbai,Household Essentials,241,Delivered,4
32,2026-03-14,10,2, bengaluru ,Household Essentials,241,Delivered,3
33,2026-02-02,48,3,Mumbai,Household Essentials,241,Delivered,1
34,2026-01-19,33,5,Bengaluru,Household Essentials,241,Delivered,
35,2026-01-17,12,1,Mumbai,household essentials,241,Delivered,5
36,2026-01-22,26,1, pune ,Household Essentials,241,Delivered,5
37,2026-02-19,40,1,Mumbai,Household Essentials,,Delivered,4
38,2026-06-19,17,2,Hyderabad,Household Essentials,241,Delivered,3
39,2026-02-09,9,3,Bengaluru,Household Essentials,242,Delivered,4
40,2026-03-25,1,4, mumbai ,household essentials,242,Delivered,5
40,2026-03-25,1,4, mumbai ,household essentials,242,Delivered,5
41,2026-05-04,35,2,Mumbai,Household Essentials,241,Delivered,5
42,2026-03-05,5,2,Hyderabad,Household Essentials,241,Cancelled,3
43,2026-03-06,35,3,Bengaluru,Household Essentials,241,Delivered,5
44,2026-06-17,43,5, mumbai ,Household Essentials,242,Delivered,3
45,2026-06-04,17,1,Pune,household essentials,241,Delivered,1
46,2026-06-18,18,3,Pune,Household Essentials,241,Delivered,5
47,2026-02-23,14,3,Hyderabad,Household Essentials,242,Delivered,5
48,2026-04-09,6,4, mumbai ,Household Essentials,242,Delivered,3
49,2026-01-01,50,2,Hyderabad,Household Essentials,241,Delivered,3
50,2026-02-24,36,4,Bengaluru,household essentials,241,Delivered,5
50,2026-02-24,36,4,Bengaluru,household essentials,241,Delivered,5
51,2026-01-04,45,2,Mumbai,Household Essentials,242,Delivered,
52,2026-01-27,38,5, hyderabad ,Household Essentials,241,Delivered,2
53,2026-04-05,20,3,Mumbai,Household Essentials,242,Delivered,1
54,2026-03-07,43,1,Pune,Household Essentials,242,Delivered,3
55,2026-05-28,40,2,Bengaluru,household essentials,242,Delivered,2
56,2026-02-26,27,1, pune ,Household Essentials,241,Delivered,2
57,2026-06-11,43,2,Bengaluru,Household Essentials,241,Delivered,3
58,2026-02-26,25,1,Mumbai,Household Essentials,241,Cancelled,4
59,2026-02-07,23,3,Bengaluru,Household Essentials,242,Pending,2
60,2026-02-01,26,3, pune ,household essentials,241,Delivered,3
60,2026-02-01,26,3, pune ,household essentials,241,Delivered,3
61,2026-01-25,23,5,Hyderabad,Household Essentials,242,Delivered,4
62,2026-06-27,2,1,Hyderabad,Household Essentials,241,Delivered,3
63,2026-02-19,3,1,Hyderabad,Household Essentials,241,Delivered,5
64,2026-04-12,28,5, hyderabad ,Household Essentials,242,Delivered,5
65,2026-01-13,17,1,Pune,household essentials,242,Delivered,4
66,2026-01-17,24,4,Pune,Household Essentials,241,Pending,1
67,2026-06-11,43,1,Hyderabad,Household Essentials,241,Delivered,3
68,2026-05-10,21,4, bengaluru ,Household Essentials,241,Delivered,
69,2026-05-05,27,4,Pune,Household Essentials,241,Delivered,2
70,2026-05-19,26,5,Hyderabad,household essentials,241,Delivered,1
70,2026-05-19,26,5,Hyderabad,household essentials,241,Delivered,1
71,2026-03-10,28,5,Pune,Household Essentials,241,Delivered,5
72,2026-06-11,29,4, bengaluru ,Household Essentials,241,Delivered,2
73,2026-05-16,43,1,Pune,Household Essentials,241,Delivered,3
74,2026-05-22,6,2,Hyderabad,Household Essentials,,Delivered,3
75,2026-02-26,10,1,Pune,household essentials,241,Delivered,1
76,2026-02-16,30,4, mumbai ,Household Essentials,241,Delivered,5
77,2026-02-23,32,4,Bengaluru,Household Essentials,241,Delivered,2
78,2026-02-21,49,1,Mumbai,Household Essentials,242,Delivered,4
79,2026-02-06,4,5,Bengaluru,Household Essentials,241,Delivered,2
80,2026-01-15,30,5, pune ,household essentials,241,Delivered,5
80,2026-01-15,30,5, pune ,household essentials,241,Delivered,5
81,2026-05-11,40,5,Bengaluru,Household Essentials,242,Delivered,4
82,2026-05-15,48,4,Pune,Household Essentials,241,Delivered,4
83,2026-03-25,41,3,Pune,Household Essentials,242,Delivered,5
84,2026-04-21,18,4, pune ,Household Essentials,242,Delivered,1
85,2026-06-10,18,3,Pune,household essentials,241,Delivered,
86,2026-05-03,10,2,Pune,Household Essentials,241,Delivered,4
87,2026-06-05,5,4,Pune,Household Essentials,241,Pending,4
88,2026-03-18,27,1, bengaluru ,Household Essentials,242,Pending,2
89,2026-04-13,49,5,Mumbai,Household Essentials,242,Delivered,4
90,2026-04-01,20,4,Hyderabad,household essentials,241,Delivered,4
90,2026-04-01,20,4,Hyderabad,household essentials,241,Delivered,4
91,2026-06-20,37,6,Mumbai,Personal Care,193,Delivered,3
92,2026-05-14,5,10, hyderabad ,Personal Care,192,Delivered,3
93,2026-01-28,32,6,Bengaluru,Personal Care,193,Delivered,4
94,2026-03-21,46,7,Bengaluru,Personal Care,193,Cancelled,4
95,2026-02-24,40,10,Hyderabad,personal care,193,Delivered,4
96,2026-04-14,21,7, hyderabad ,Personal Care,193,Delivered,1
97,2026-03-15,49,9,Pune,Personal Care,192,Delivered,5
98,2026-05-22,22,6,Bengaluru,Personal Care,193,Delivered,4
99,2026-03-06,14,8,Bengaluru,Personal Care,192,Delivered,3
100,2026-03-09,36,6, hyderabad ,personal care,193,Delivered,5
100,2026-03-09,36,6, hyderabad ,personal care,193,Delivered,5
